0.0000 	0.0000 	0.0164 	0.2002 	0.4154 	0.0569 	0.0524 	0.1306 	0.0388 	0.0081 	0.1056 	0.3910 	0.6879 	0.1301 	0.4920 	0.1129 	0.4868 	0.0131 	0.0397 	0.3826 	0.2863 	0.0224 	0.1503 	0.5265 	0.0390 	0.0141 	0.0285 	0.2368 	0.0029 	0.1856 	0.0888 	0.0036 	0.1766 	0.5229 	0.0031 	0.2000 	0.0397 	0.0014 	0.3272 
0.3345 	0.0000 	0.0351 	0.2515 	0.1764 	0.0002 	0.2317 	0.4460 	0.0270 	0.0703 	0.0798 	0.0584 	0.0413 	0.0065 	0.4466 	0.1235 	0.8810 	0.2638 	0.1840 	0.4878 	0.1015 	0.0280 	0.4677 	0.6291 	0.7711 	0.0538 	0.1889 	0.0194 	0.1079 	0.2201 	0.1427 	0.6947 	0.0896 	0.1911 	0.1866 	0.5446 	0.0698 	0.0036 	0.0412 
0.3280 	0.6736 	0.0000 	0.3831 	0.5258 	0.7654 	0.4617 	0.5434 	0.2199 	0.0367 	0.2126 	0.5399 	0.0706 	0.2293 	0.4167 	0.3989 	0.4985 	0.4788 	0.2440 	0.2735 	0.4649 	0.4015 	0.7662 	0.0000 	0.6882 	0.0059 	0.3153 	0.7475 	0.6094 	0.6130 	0.3013 	0.3844 	0.1798 	0.4341 	0.5071 	0.5759 	0.5435 	0.5936 	0.4713 
0.0372 	0.0070 	0.0919 	0.0000 	0.3733 	0.0964 	0.1481 	0.0652 	0.1517 	0.0241 	0.4054 	0.2237 	0.3082 	0.3473 	0.4281 	0.2384 	0.0689 	0.3856 	0.4547 	0.6028 	0.5867 	0.7126 	0.2267 	0.7611 	0.5243 	0.2931 	0.5813 	0.5901 	0.1991 	0.4624 	0.2245 	0.6983 	0.0548 	0.5489 	0.0684 	0.0245 	0.1872 	0.6061 	0.0275 
0.3355 	0.0000 	0.8621 	0.0000 	0.0000 	0.0000 	0.7268 	0.2761 	0.5737 	0.8090 	0.1088 	0.7328 	0.1814 	0.1008 	0.0196 	0.3868 	0.0000 	0.0000 	0.5882 	0.6329 	0.2437 	0.1016 	0.6429 	0.0021 	0.4720 	0.0017 	0.0000 	0.0000 	0.7508 	0.0000 	0.0125 	0.2089 	0.8205 	0.4902 	0.6011 	0.0923 	0.6308 	0.0000 	0.3730 
0.1728 	0.1205 	0.0003 	0.1897 	0.3235 	0.0000 	0.2067 	0.0703 	0.0862 	0.0021 	0.1053 	0.0283 	0.0443 	0.0736 	0.4669 	0.2063 	0.0000 	0.0365 	0.0000 	0.1915 	0.0131 	0.4530 	0.0876 	0.0782 	0.2585 	0.0040 	0.0350 	0.0869 	0.3184 	0.1234 	0.0564 	0.0090 	0.5385 	0.0415 	0.4128 	0.3290 	0.0193 	0.0000 	0.7111 
0.0734 	0.7949 	0.0000 	0.1533 	0.8753 	0.2116 	0.0000 	0.0486 	0.0291 	0.1575 	0.6157 	0.2820 	0.2178 	0.4534 	0.1586 	0.6539 	0.2981 	0.0577 	0.5837 	0.2359 	0.2706 	0.2231 	0.0196 	0.0093 	0.1277 	0.0137 	0.4630 	0.1651 	0.2275 	0.4365 	0.6741 	0.0032 	0.0419 	0.1464 	0.6572 	0.2095 	0.2147 	0.5262 	0.7771 
0.0997 	0.5886 	0.0000 	0.2653 	0.0421 	0.0949 	0.0366 	0.0000 	0.5396 	0.2076 	0.0851 	0.0131 	0.2398 	0.4806 	0.4187 	0.4632 	0.1351 	0.3685 	0.3518 	0.5086 	0.1618 	0.2587 	0.0091 	0.5484 	0.0099 	0.2426 	0.2407 	0.3959 	0.0090 	0.1109 	0.3071 	0.5031 	0.7757 	0.2447 	0.1745 	0.9010 	0.3380 	0.7385 	0.5144 
0.1201 	0.1312 	0.0000 	0.2551 	0.4990 	0.0042 	0.1802 	0.0021 	0.0000 	0.5777 	0.0023 	0.6169 	0.0000 	0.0795 	0.4943 	0.3208 	0.1828 	0.6626 	0.0366 	0.6350 	0.4270 	0.1873 	0.0195 	0.4230 	0.0562 	0.1292 	0.0177 	0.4382 	0.3567 	0.0207 	0.2253 	0.1276 	0.2191 	0.0113 	0.0087 	0.6583 	0.2236 	0.2935 	0.0105 
0.2152 	0.0393 	0.0651 	0.0017 	0.1795 	0.0194 	0.0237 	0.2529 	0.0864 	0.0000 	0.4503 	0.3137 	0.6799 	0.2738 	0.3213 	0.8269 	0.0023 	0.0671 	0.4518 	0.0954 	0.0079 	0.0496 	0.5132 	0.0002 	0.0234 	0.4917 	0.0774 	0.2103 	0.0885 	0.2273 	0.1109 	0.0403 	0.2745 	0.1012 	0.0270 	0.0295 	0.0270 	0.0051 	0.1392 
